,model,data,ticker,timeframe,datasize,MAPE,DirecAccuracy,MSE
1004,LGBMTunedwithClose,jump_diffusion,^DJI,hourly,54,0.002321706995549692,0.5370370370370371,11098.134411731247
1005,LGBMTunedwithClose,jump_diffusion,^GSPC,hourly,54,0.009301368973864112,0.3888888888888889,6102.40844960737
1006,LGBMTunedwithClose,jump_diffusion,^N225,hourly,55,0.005684424477690353,0.6,34279.92908111327
1007,LGBMTunedwithClose,jump_diffusion,^NSEI,hourly,56,0.002743802327115265,0.5178571428571429,11808.215027577402
1008,LGBMwithClose,data,AAPL,daily,67,0.027638585763110488,0.5970149253731343,56.84986233520022
1009,LGBMwithClose,data,BIRET.BO,daily,68,0.04722909813279173,0.4852941176470588,302.95948448604537
1010,LGBMwithClose,data,DLF.NS,daily,68,0.024608377842345826,0.5294117647058824,516.8394478896892
1011,LGBMwithClose,data,EMBASSY.BO,daily,68,0.02638125079034634,0.5147058823529411,133.48617464889855
1012,LGBMwithClose,data,GC=F,daily,69,0.11918249285256236,0.5362318840579711,164379.43724493103
1013,LGBMwithClose,data,GODREJPROP.NS,daily,68,0.019863173748341983,0.5882352941176471,3392.711011305804
1014,LGBMwithClose,data,GOOGL,daily,67,0.017956374132434907,0.5671641791044776,14.281332438675607
1015,LGBMwithClose,data,LODHA.NS,daily,68,0.02270815333650071,0.4852941176470588,1466.545522822381
1016,LGBMwithClose,data,META,daily,67,0.028561057060413602,0.5522388059701493,487.88149898387223
1017,LGBMwithClose,data,MINDSPACE.BO,daily,68,0.07317008084291593,0.5588235294117647,1165.8778893915455
1018,LGBMwithClose,data,MSFT,daily,67,0.04850228803679798,0.5223880597014925,774.5135475781503
1019,LGBMwithClose,data,NVDA,daily,67,0.04822714148828745,0.47761194029850745,68.3331568886021
1020,LGBMwithClose,data,NXST.BO,daily,68,0.015915615577945266,0.5441176470588235,7.799195336950521
1021,LGBMwithClose,data,OBEROIRLTY.NS,daily,68,0.02487283525400357,0.47058823529411764,3031.7005585592374
1022,LGBMwithClose,data,^DJI,daily,67,0.017917641966897182,0.44776119402985076,1170149.5444735282
1023,LGBMwithClose,data,^GSPC,daily,67,0.01677854674615611,0.5074626865671642,17599.31459812318
1024,LGBMwithClose,data,^N225,daily,65,0.016420898954180977,0.47692307692307695,671623.8802248122
1025,LGBMwithClose,data,^NSEI,daily,67,0.01001366910993751,0.5671641791044776,106404.55027411449
1026,LGBMwithClose,data,AAPL,hourly,188,0.002566993803817793,0.4946808510638298,0.7193289173870256
1027,LGBMwithClose,data,BIRET.BO,hourly,56,0.003311325330901111,0.3392857142857143,1.5681605507735046
1028,LGBMwithClose,data,DLF.NS,hourly,56,0.003353016328508652,0.5714285714285714,12.802082154455231
1029,LGBMwithClose,data,EMBASSY.BO,hourly,56,0.002864440015053834,0.5357142857142857,2.383508722214273
1030,LGBMwithClose,data,GC=F,hourly,315,0.001571757894137628,0.5047619047619047,45.35590318239312
1031,LGBMwithClose,data,GODREJPROP.NS,hourly,56,0.005393215113182792,0.5178571428571429,261.2913952325984
1032,LGBMwithClose,data,GOOGL,hourly,188,0.0034153826180750003,0.5106382978723404,1.959475609418714
1033,LGBMwithClose,data,LODHA.NS,hourly,56,0.004048463040230134,0.5357142857142857,48.047320589518655
1034,LGBMwithClose,data,META,hourly,188,0.005279833645754474,0.5,29.68152093128947
1035,LGBMwithClose,data,MINDSPACE.BO,hourly,56,0.003882867674930674,0.5,3.933128409671469
1036,LGBMwithClose,data,MSFT,hourly,188,0.02936208765183062,0.5425531914893617,227.55770347266434
1037,LGBMwithClose,data,NVDA,hourly,188,0.06783137632064781,0.5,141.84394865844413
1038,LGBMwithClose,data,NXST.BO,hourly,56,0.002556689446995535,0.44642857142857145,0.31581374202624285
1039,LGBMwithClose,data,OBEROIRLTY.NS,hourly,56,0.005807410746329463,0.5714285714285714,189.0841777470766
1040,LGBMwithClose,data,^DJI,hourly,54,0.0017764207871707447,0.5370370370370371,10102.572867866598
1041,LGBMwithClose,data,^GSPC,hourly,54,0.021535069612628136,0.5925925925925926,18684.021563291695
1042,LGBMwithClose,data,^N225,hourly,55,0.002265994541637704,0.4909090909090909,12455.394493654185
1043,LGBMwithClose,data,^NSEI,hourly,56,0.003432619679400228,0.6071428571428571,14368.22794522657
1044,LGBMwithClose,gbm,AAPL,daily,67,0.02769640933196401,0.40298507462686567,0.2296988839829504
1045,LGBMwithClose,gbm,BIRET.BO,daily,68,0.06798488085569503,0.5147058823529411,432.2951011992897
1046,LGBMwithClose,gbm,DLF.NS,daily,68,0.02161581375509079,0.4852941176470588,1.1865963702625537
1047,LGBMwithClose,gbm,EMBASSY.BO,daily,68,0.047684227597519654,0.5147058823529411,1278.1959940693575
1048,LGBMwithClose,gbm,GC=F,daily,69,0.01435608616717299,0.5942028985507246,1352.4949537327175
1049,LGBMwithClose,gbm,GODREJPROP.NS,daily,68,0.020313055679404307,0.5294117647058824,65.52025469620565
1050,LGBMwithClose,gbm,GOOGL,daily,67,0.018327991337821127,0.417910447761194,0.12426385824684087
1051,LGBMwithClose,gbm,LODHA.NS,daily,68,0.27708011326509424,0.6323529411764706,2625474.244353952
1052,LGBMwithClose,gbm,META,daily,67,0.023233738763487853,0.4925373134328358,1.0189850302683086
1053,LGBMwithClose,gbm,MINDSPACE.BO,daily,68,0.008879683198131604,0.4852941176470588,12.612650161541067
1054,LGBMwithClose,gbm,MSFT,daily,67,0.017290693016681142,0.47761194029850745,490.65080519167947
1055,LGBMwithClose,gbm,NVDA,daily,67,0.2924961216240592,0.47761194029850745,14194.749195190338
1056,LGBMwithClose,gbm,NXST.BO,daily,68,0.023966809352396274,0.5,20.60514116129587
1057,LGBMwithClose,gbm,OBEROIRLTY.NS,daily,68,0.019131223203462572,0.47058823529411764,33.32148087213519
1058,LGBMwithClose,gbm,^DJI,daily,67,0.00946038207154798,0.417910447761194,95028.97189664304
1059,LGBMwithClose,gbm,^GSPC,daily,67,0.010454959164253394,0.5373134328358209,283.9356764309476
1060,LGBMwithClose,gbm,^N225,daily,65,0.010533291474362801,0.6,94722.71103041731
1061,LGBMwithClose,gbm,^NSEI,daily,67,0.009075882466247088,0.417910447761194,8665.650866012069
1062,LGBMwithClose,gbm,AAPL,hourly,188,0.005227897050707888,0.5425531914893617,2.457177585034669
1063,LGBMwithClose,gbm,BIRET.BO,hourly,56,0.0036466853197947213,0.5892857142857143,1.0338517947995416
